COURSE_NUMBER,COURSE_NAME,PREREQUISITE
CSC578,NeuralNetworksandDeepLearning,(CSC 412 and CSC 478) or consent of instructor
CSC583,ArtificialIntelligenceII,CSC 480
CSC587,CognitiveScience,CSC 403 or HCI 460.
CSC592,TopicsinComputerVisionandPatternRecognition,CSC 482 or CSC 528
CSC594,TopicsinArtificialIntelligence,"For specific prerequisites, see syllabus or consult course instructor. (variable credit)"
ECT584,WebDataMining,IT 403 AND (CSC 451 or CSC 453 or CSC 455)
GEO441,GeographicInformationSystems(Gis)forCommunityDevelopment,
GEO442,GeographicalInformationSystems(Gis)forSustainableUrbanDevelopment,
IS467,FundamentalsofDataScience,IT 403 or CSC 423
SE430,ObjectOrientedModeling,CSC 403
SE433,SoftwareTestingandQualityAssurance,CSC 403
SE441,ContinuousDeliveryandDevops,CSC 403
SE452,Object-OrientedEnterpriseComputing,CSC 403
SE453,ArchitectureandFrameworksforDevelopingClientApplications,
SE456,ArchitectureofReal-TimeSystems,CSC 403
SE457,Service-OrientedArchitecture,
SE459,AgileSoftwareDevelopment,SE 450
SE475,ManagingGloballyDistributedSoftwareDevelopment,CSC 403
SE477,SoftwareandSystemsProjectManagement,"Knowledge of the Software development life cycle model, for example through courses such as SE430, ECT455, IS425, MIS555 or through appropriate work experience."
SE480,SoftwareArchitectureI,SE 450
SE482,RequirementsEngineering,
SE491,SoftwareEngineeringStudio,SE 450.
SE525,SoftwareSecurityArchitecture,CSC 435 and SE 450
SE526,SoftwareSecurityAssessment,
SE529,SoftwareRiskManagement,IT 403 and SE 430 or consent.
SE533,SoftwareValidationandVerification,SE 450.
SE546,SoftwareArchitectureandDesignforDesktopApplications,
SE549,Model-DrivenSoftwareDevelopment,SE 430 or SE 450
SE554,EnterpriseComponentArchitecture,SE 450 or SE 452.
SE556,AdvancedArchitectureofComputerGames,SE 456 and CSC 407
SE560,StructuredDocumentInterchangeandProcessing,SE 450 OR ((CSC 383 or CSC 301)  and SE 430).
SE579,AnalyticsandDataMininginSoftwareEngineering,SE 450
SE581,SoftwareArchitectureII,SE 480
SE582,Software-IntensiveSystemsEngineeringandManagement,(SE 477 or PM 430 or IS 430) and (SE 430 or SE 482 or IS 485)
SE591,SoftwareEngineeringStudioII,SE 491
CSC461,OptimizedC,CSC 400 and CSC 403 and CSC 406
CSC462,CMultithreading,GAM 491 or CSC 461
GAM450,PhysicsforGameDevelopers,CSC 461 and (SE 456 or SE 450)
GAM453,ToolProgrammingforGameDevelopment,CSC 461 and (SE 456 or SE 450)
GAM475,GameEngineProgrammingI,GPH 469 and (SE 456 or SE 450)
GAM476,ArtificialIntelligenceforComputerGames,CSC 461 and (SE 456 or SE 450)
GAM486,GameProgrammingforMobileDevices,CSC 471
GAM490,MultiplayerGameDevelopment,CSC 461 and (SE 456 or SE 450)
GAM575,GameEngineProgrammingII,GAM 475
GAM576,GameEngineProgrammingIII,GAM 575
GAM690,GameDevelopmentStudioI,
GAM691,GameDevelopmentStudioII,
GPH436,FundamentalsofComputerGraphics,CSC 393 and MAT 150.
GPH469,ComputerGraphicsDevelopment,CSC 461 and (GAM 425 or GPH 436)
GPH570,Visualization,GPH 469.
GPH572,PrinciplesofComputerAnimation,GPH 469.
GPH580,HardwareShadingTechniques,GPH 469
HCI440,IntroductiontoUser-CenteredDesign,None
SE456,ArchitectureofReal-TimeSystems,CSC 403
SE556,AdvancedArchitectureofComputerGames,SE 456 and CSC 407
